,field_year,field_category,field_publication,title,field_abbr_citation
626,2003,Feature Writing,Los Angeles Times,Sonia Nazario,"For &quot;Enrique&#039;s Journey,&quot; her touching, exhaustively reported story of a Honduran boy&#039;s perilous search for his mother who had migrated to the United States."
627,2002,Feature Writing,Los Angeles Times,Barry Siegel,"For his humane and haunting portrait of a man tried for negligence in the death of his son, and the judge who heard the case."
628,2001,Feature Writing,The Oregonian,Tom Hallman Jr.,For his poignant profile of a disfigured 14-year old boy who elects to have life-threatening surgery in an effort to improve his appearance.
629,2000,Feature Writing,Los Angeles Times,J.R. Moehringer,"For his portrait of Gee’s Bend, an isolated river community in Alabama where many descendants of slaves live, and how a proposed ferry to the mainland might change it."
630,1999,Feature Writing,The Wall Street Journal,Angelo B. Henderson,"For his portrait of a druggist who is driven to violence by his encounters with armed robbery, illustrating the lasting effects of crime."
631,1998,Feature Writing,St. Petersburg Times,Thomas French,"For his detailed and compassionate narrative portrait of a mother and two daughters slain on a Florida vacation, and the three-year investigation into their murders."
632,1997,Feature Writing,The Baltimore Sun,Lisa Pollak,For her compelling portrait of a baseball umpire who endured the death of a son while knowing that another son suffers from the same deadly genetic disease.
633,1996,Feature Writing,The New York Times,Rick Bragg,For his elegantly written stories about contemporary America.
634,1995,Feature Writing,The Wall Street Journal,Ron Suskind,"For his stories about inner-city honor students in Washington, D.C., and their determination to survive and prosper."
635,1994,Feature Writing,The New York Times,Isabel Wilkerson,For her profile of a fourth-grader from Chicago&#039;s South Side and for two stories reporting on the Midwestern flood of 1993.
636,1993,Feature Writing,The Washington Post,George Lardner Jr.,For his unflinching examination of his daughter&#039;s murder by a violent man who had slipped through the criminal justice system.
637,1992,Feature Writing,The New York Times,Howell Raines,"For &quot;Grady&#039;s Gift,&quot; an account of the author&#039;s childhood friendship with his family&#039;s black housekeeper and the lasting lessons of their relationship."
638,1991,Feature Writing,St. Petersburg (FL) Times,Sheryl James,For a compelling series about a mother who abandoned her newborn child and how it affected her life and those of others.
639,1990,Feature Writing,Colorado Springs Gazette Telegraph,Dave Curtin,For a gripping account of a family&#039;s struggle to recover after its members were severely burned in an explosion that devastated their home.
640,1989,Feature Writing,The Philadelphia Inquirer,David Zucchino,"For his richly compelling series, &quot;Being Black in South Africa.&quot;"
641,1988,Feature Writing,St. Paul Pioneer Press Dispatch,Jacqui Banaszynski,For her moving series about the life and death of an AIDS victim in a rural farm community.
642,1987,Feature Writing,The Philadelphia Inquirer,Steve Twomey,For his illuminating profile of life aboard an aircraft carrier.
643,1986,Feature Writing,St. Paul Pioneer Press and Dispatch,John Camp,For his five-part series examining the life of an American farm family faced with the worst U.S. agricultural crisis since the Depression.
644,1985,Feature Writing,The Baltimore Sun,Alice Steinbach,"For her account of a blind boy&#039;s world, &quot;A Boy of Unusual Vision.&quot;"
645,1984,Feature Writing,The Seattle Times,Peter Mark Rinearson,"For &quot;Making It Fly,&quot; his account of the new Boeing 757 jetliner."
646,1983,Feature Writing,The New York Times,Nan Robertson,For her memorable and medically detailed account of her struggle with toxic shock syndrome.
647,1982,Feature Writing,Associated Press,Saul Pett,For an article profiling the federal bureaucracy.
648,1981,Feature Writing,The Village Voice,Teresa Carpenter,"(The prize was first awarded to Janet Cooke of The Washington Post, but it was returned two days later after The Post learned that the winning story was fabricated.)"
649,1980,Feature Writing,The Miami Herald,Madeleine Blais,For &quot;Zepp&#039;s Last Stand.&quot;
650,1979,Feature Writing,Baltimore Evening Sun,Jon D. Franklin,For an account of brain surgery.
651,2020,Commentary,The New York Times,Nikole Hannah-Jones of The New York Times,"For a sweeping, provocative and personal essay for the ground-breaking 1619 Project, which seeks to place the enslavement of Africans at the center of America’s story, prompting public conversation about the nation’s founding and evolution."
652,2019,Commentary,St. Louis Post-Dispatch,Tony Messenger of the St. Louis Post-Dispatch,For bold columns that exposed the malfeasance and injustice of forcing poor rural Missourians charged with misdemeanor crimes to pay unaffordable fines or be sent to jail.
653,2018,Commentary,,John Archibald of Alabama Media Group,"For lyrical and courageous commentary that is rooted in Alabama but has a national resonance in scrutinizing corrupt politicians, championing the rights of women and calling out hypocrisy."
654,2017,Commentary,The Wall Street Journal,Peggy Noonan,For rising to the moment with beautifully rendered columns that connected readers to the shared virtues of Americans during one of the nation’s most divisive political campaigns.
655,2016,Commentary,The Boston Globe,Farah Stockman,For extensively reported columns that probe the legacy of busing in Boston and its effect on education in the city with a clear eye on ongoing racial contradictions.
656,2015,Commentary,Houston Chronicle,Lisa Falkenberg,"For vividly-written, groundbreaking columns about grand jury abuses that led to a wrongful conviction and uncovered other egregious problems in the legal and immigration systems."
657,2014,Commentary,Detroit Free Press,Stephen Henderson,"For his columns on the financial crisis facing his hometown, written with passion and a stirring sense of place, sparing no one in their critique."
658,2013,Commentary,The Wall Street Journal,Bret Stephens,"For his incisive columns on American foreign policy and domestic politics, often enlivened by a contrarian twist."
659,2012,Commentary,Chicago Tribune,Mary Schmich,For her wide range of down-to-earth columns that reflect the character and capture the culture of her famed city.
